order_id,order_date,customer_id,customer_name,email,phone,product,category,quantity,unit_price,discount,payment_method,shipping_city,shipping_state,order_status
ORD100050,2026-01-29 01:00:00,CUST2388,Tunde Ibrahim,user@yahoo.com,08012345678,USB-C Charger,Electronics,2,18331.55230049947,0.05,Card,Port Harcourt,Rivers,Cancelled
ORD100051,2025-08-26 00:00:00,CUST2092,Tunde Adeyemi,customer@gmail.com,080-1234-5678,External SSD,Electronics,3,85740.39085315121,0.15,POS,Lagos,Lagos,Completed
ORD100052,2026-04-28 20:00:00,CUST1314,Tunde Smith,,080-1234-5678,Smart Watch,Electronics,5,112550.07178917812,0.2,POS,Kano,Kano,Returned
ORD100053,2025-08-09 00:00:00,CUST1503,Mary Adeyemi,bademail.com,+2348012345678,Smart Watch,Electronics,3,115510.47820019415,0.2,Paystack,Port Harcourt,Rivers,Returned
ORD100054,2025-05-05 03:00:00,CUST1999,Chioma Adeyemi,info@company.com,080-1234-5678,Blender,Home,1,55444.038461236,0.2,Flutterwave,Ibadan,Oyo,Cancelled
ORD100055,2025-02-28 10:00:00,CUST1495,Tunde Ibrahim,,+2348012345678,T-Shirt,Fashion,1,18686.193622007486,0.15,POS,Abuja,FCT,Completed
ORD100056,2026-04-18 06:00:00,CUST1499,Emeka Williams,info@company.com,,USB-C Charger,Electronics,1,18192.502638036898,0.1,POS,Benin City,Edo,Failed
ORD100057,2025-07-04 22:00:00,CUST1628,Emeka Smith,customer@gmail.com,+2348012345678,Blender,Home,1,55860.356150469444,0.2,Flutterwave,Kano,Kano,Pending
ORD100058,2025-07-08 18:00:00,CUST2484,Emeka Okafor,user@yahoo.com,080-1234-5678,Backpack,Fashion,1,39710.85857325346,0.05,Cash,Kano,Kano,Completed
ORD100059,2025-02-07 05:00:00,CUST2134,Emeka Smith,bademail.com,08012345678,T-Shirt,Fashion,1,19341.791045994723,0.2,Cash,Lagos,Lagos,Returned
ORD100060,05/02/2025,CUST1518,Ngozi Okafor,customer@gmail.com,,Coffee Maker,Home,1,71881.15046819138,0.2,Flutterwave,Ikeja,Lagos,Completed
ORD100061,2025-02-28 03:00:00,CUST1509,Mary Williams,bademail.com,+2348012345678,Running Shoes,Fashion,1,68584.01601607683,0.15,POS,Port Harcourt,Rivers,Returned
ORD100062,2025-07-28 11:00:00,CUST2165,John Williams,customer@gmail.com,+2348012345678,Office Chair,Home,3,148639.9358817915,0.1,Flutterwave,Benin City,Edo,Completed
ORD100063,2025-04-17 20:00:00,CUST1006,Tunde Ibrahim,,,Running Shoes,Fashion,1,62286.37075740336,0.05,Cash,Lekki,Lagos,Cancelled
ORD100064,2025-06-30 14:00:00,CUST2281,Chioma Ibrahim,customer@gmail.com,+2348012345678,Coffee Maker,Home,1,74125.94001699572,0.1,Bank Transfer,Abuja,FCT,Completed
ORD100065,2026-02-11 05:00:00,CUST2534,Emeka Ibrahim,customer@gmail.com,,Wireless Headphones,Electronics,1,88207.5258506056,0.15,Cash,Port Harcourt,Rivers,Failed
ORD100066,2026-02-13 06:00:00,CUST1082,Tunde Adeyemi,,080-1234-5678,T-Shirt,Fashion,1,16293.113612598008,0.05,Flutterwave,Lekki,Lagos,Failed
ORD100067,2026-01-29 09:00:00,CUST1083,David Ibrahim,,,External SSD,Electronics,5,102905.38297060858,0.05,Paystack,Port Harcourt,Rivers,Returned
ORD100068,2025-08-26 12:00:00,CUST1837,Aisha Adeyemi,customer@gmail.com,+2348012345678,Coffee Maker,Home,5,69549.1727555371,0.15,Cash,Kano,Kano,Returned
ORD100069,2025-08-03 17:00:00,CUST1517,Aisha Okafor,bademail.com,08012345678,T-Shirt,Fashion,1,18567.577391339266,0.2,POS,Lekki,Lagos,Returned
ORD100070,2026-03-02 01:00:00,CUST2550,Ngozi Ibrahim,customer@gmail.com,+2348012345678,Wireless Headphones,Electronics,1,81039.95605063986,0.05,Cash,LAGOS,Oyo,Returned
ORD100071,2026-04-30 13:00:00,CUST1325,Emeka Williams,customer@gmail.com,,Coffee Maker,Home,1,66142.21249845393,0.0,POS,Abuja,FCT,Completed
ORD100072,2025-12-14 09:00:00,CUST2445,Emeka Ibrahim,bademail.com,,Running Shoes,Fashion,1,61668.5017789768,0.2,Bank Transfer,Port Harcourt,Rivers,Returned
ORD100073,2025-02-17 15:00:00,CUST1566,Tunde Adeyemi,,080-1234-5678,Backpack,Fashion,4,44692.61557475886,0.1,Flutterwave,Ikeja,Lagos,Cancelled
ORD100074,2025-04-12 10:00:00,CUST1915,Ngozi Adeyemi,info@company.com,,External SSD,Electronics,2,94151.54772046352,0.1,Bank Transfer,Kano,Kano,Pending
ORD100075,2025-01-30 19:00:00,CUST1652,Ngozi Ibrahim,bademail.com,+2348012345678,External SSD,Electronics,1,94911.24434271206,0.0,Bank Transfer,Benin City,Edo,Failed
ORD100076,2025-10-28 13:00:00,CUST1205,Ngozi Okafor,user@yahoo.com,,External SSD,Electronics,1,102047.72645563517,0.05,Card,Lekki,Lagos,Returned
ORD100077,2026-03-20 14:00:00,CUST1165,Aisha Williams,bademail.com,080-1234-5678,Office Chair,Home,1,148677.17619123164,0.15,Paystack,Benin City,Edo,Completed
ORD100078,2025-06-05 07:00:00,CUST2530,Mary Ibrahim,customer@gmail.com,08012345678,External SSD,Electronics,1,93929.89248157242,0.1,Card,Port Harcourt,Rivers,Completed
ORD100079,2025-09-02 17:00:00,CUST1768,Tunde Smith,user@yahoo.com,,Blender,Home,2,58764.76551822488,0.05,Bank Transfer,Port Harcourt,Rivers,Pending
ORD100080,2026-02-28 01:00:00,CUST2400,Chioma Ibrahim,,+2348012345678,USB-C Charger,Electronics,2,17035.87839946255,0.1,POS,Benin City,Edo,Cancelled
ORD100081,2025-07-16 08:00:00,CUST2388,David Okafor,bademail.com,080-1234-5678,Wireless Headphones,Electronics,3,93290.07881871401,0.1,Flutterwave,Kano,Kano,Returned
ORD100082,2025-05-16 23:00:00,CUST1788,Ngozi Okafor,user@yahoo.com,,Office Chair,Home,1,147085.75807817144,0.2,Cash,Port Harcourt,Rivers,Cancelled
ORD100083,2025-07-07 09:00:00,CUST1017,John Williams,bademail.com,080-1234-5678,Wireless Headphones,Electronics,5,89687.59665325748,0.05,Paystack,Benin City,Edo,Cancelled
ORD100084,2026-04-08 16:00:00,CUST2548,David Okafor,customer@gmail.com,080-1234-5678,Backpack,Fashion,2,44424.328065685295,0.0,Paystack,Port Harcourt,Rivers,Cancelled
ORD100085,2025-08-12 00:00:00,CUST2531,Tunde Smith,user@yahoo.com,+2348012345678,Running Shoes,Fashion,1,68724.66654339658,0.1,Paystack,Port Harcourt,Rivers,Failed
ORD100086,2026-07-17 23:00:00,CUST1987,Emeka Adeyemi,customer@gmail.com,,Office Chair,Home,3,158423.90549319747,0.05,Bank Transfer,Port Harcourt,Rivers,Returned
ORD100087,2025-01-10 12:00:00,CUST1542,Mary Ibrahim,info@company.com,080-1234-5678,T-Shirt,Fashion,1,18304.4163299478,0.1,Card,Benin City,Edo,Pending
ORD100088,2026-02-21 11:00:00,CUST1454,Mary Ibrahim,info@company.com,,Coffee Maker,Home,1,66480.13348886959,0.0,Card,Ibadan,Oyo,Cancelled
ORD100089,2026-01-02 23:00:00,CUST1278,Tunde Ibrahim,info@company.com,,Coffee Maker,Home,1,73257.70097589995,0.05,POS,Abuja,FCT,Completed
ORD100090,2025-01-23 08:00:00,CUST2414,Aisha Smith,bademail.com,,Coffee Maker,Home,2,78487.99444586056,0.1,Card,Port Harcourt,Rivers,Cancelled
ORD100091,2025-02-11 08:00:00,CUST1816,Emeka Smith,customer@gmail.com,,T-Shirt,Fashion,4,16530.024325743077,0.05,Flutterwave,Ibadan,Oyo,Failed
ORD100092,2025-06-16 06:00:00,CUST1258,Chioma Okafor,,+2348012345678,Wireless Headphones,Electronics,1,86468.51242088656,0.05,Cash,Ibadan,Oyo,Pending
ORD100093,2025-03-30 17:00:00,CUST2107,Emeka Smith,customer@gmail.com,08012345678,External SSD,Electronics,1,88004.26136167605,0.1,Bank Transfer,Ikeja,Lagos,Failed
ORD100094,2025-02-05 18:00:00,CUST1260,Tunde Williams,customer@gmail.com,08012345678,Blender,Home,1,57724.45319890971,0.1,Paystack,Port Harcourt,Rivers,Failed
ORD100095,2026-02-24 21:00:00,CUST1089,Emeka Ibrahim,customer@gmail.com,08012345678,USB-C Charger,Electronics,1,19794.912318321578,0.15,POS,Abuja,FCT,Completed
ORD100096,2025-02-20 04:00:00,CUST1166,Aisha Williams,user@yahoo.com,08012345678,Coffee Maker,Home,2,66617.15887159281,0.2,Flutterwave,Kano,Kano,Failed
ORD100097,2026-02-12 19:00:00,CUST2087,Emeka Ibrahim,,,T-Shirt,Fashion,2,16557.042462044552,0.0,Flutterwave,Benin City,Edo,Failed
ORD100098,2025-10-10 11:00:00,CUST1695,Ngozi Ibrahim,bademail.com,08012345678,Backpack,Fashion,1,40425.40613997592,0.1,Flutterwave,Abuja,FCT,Cancelled
ORD100099,2025-02-15 19:00:00,CUST1187,Mary Okafor,bademail.com,08012345678,Blender,Home,5,60837.232042625794,0.1,Bank Transfer,Kano,Kano,Failed
ORD100100,2026-04-03 09:00:00,CUST1251,Tunde Adeyemi,bademail.com,08012345678,Wireless Headphones,Electronics,2,92962.77663029508,0.2,Cash,Ibadan,Oyo,Cancelled
ORD100101,2025-04-16 15:00:00,CUST2345,Ngozi Smith,customer@gmail.com,080-1234-5678,USB-C Charger,Electronics,2,19243.344306964846,0.1,Card,Abuja,FCT,Cancelled
ORD100102,2026-01-18 22:00:00,CUST2572,John Williams,info@company.com,08012345678,External SSD,Electronics,1,88927.90536725623,0.1,Cash,Benin City,Edo,Cancelled
ORD100103,2026-01-22 14:00:00,CUST2347,Tunde Okafor,user@yahoo.com,08012345678,Wireless Headphones,Electronics,1,78059.88061192558,0.2,Bank Transfer,Ikeja,Lagos,Returned
ORD100104,2025-09-10 14:00:00,CUST1639,Aisha Williams,,08012345678,Smart Watch,Electronics,1,118433.52805940356,0.05,Bank Transfer,Ikeja,Lagos,Failed
ORD100105,2025-10-30 11:00:00,CUST2356,Tunde Ibrahim,,,Wireless Headphones,Electronics,2,83541.12354400632,0.05,Paystack,Port Harcourt,Rivers,Completed
ORD100106,2026-04-08 23:00:00,CUST2390,Ngozi Williams,info@company.com,08012345678,Blender,Home,1,54758.01385182929,0.2,Card,Port Harcourt,Rivers,Completed
ORD100107,2026-06-08 20:00:00,CUST1282,Emeka Adeyemi,info@company.com,08012345678,Backpack,Fashion,1,37864.93121518222,0.15,Bank Transfer,Abuja,FCT,Pending
ORD100108,2025-12-08 12:00:00,,Aisha Okafor,bademail.com,08012345678,Smart Watch,Electronics,1,108596.83110127087,0.15,Card,Abuja,FCT,Cancelled
ORD100109,2026-04-30 08:00:00,CUST2312,Tunde Adeyemi,customer@gmail.com,,External SSD,Electronics,1,85896.27462147023,0.1,Bank Transfer,Benin City,Edo,Failed
ORD100110,2025-03-02 03:00:00,CUST1895,Mary Smith,bademail.com,,Coffee Maker,Home,3,72345.06061920909,0.15,Cash,Ibadan,Oyo,Cancelled
ORD100111,2025-02-22 03:00:00,CUST2046,Mary Williams,,+2348012345678,Backpack,Fashion,1,45409.750945272426,0.1,Cash,Ikeja,Lagos,Pending
ORD100112,2025-05-15 16:00:00,CUST1356,David Okafor,user@yahoo.com,,Backpack,Fashion,1,41697.20577550936,0.2,Paystack,Port Harcourt,Rivers,Returned
ORD100113,2026-03-05 04:00:00,CUST1648,David Ibrahim,customer@gmail.com,,External SSD,Electronics,2,93901.95321288942,0.1,Cash,Ibadan,Oyo,Failed
ORD100114,2025-07-31 21:00:00,CUST1946,Ngozi Okafor,customer@gmail.com,080-1234-5678,Wireless Headphones,Electronics,1,90638.84273827307,0.0,Flutterwave,Lekki,Lagos,Completed
ORD100115,2025-11-12 21:00:00,CUST2189,John Ibrahim,,+2348012345678,External SSD,Electronics,2,91609.00849472814,0.15,Paystack,Benin City,Edo,Pending
ORD100116,2026-05-03 15:00:00,CUST1173,David Okafor,user@yahoo.com,,Wireless Headphones,Electronics,1,93346.76238499708,0.2,Paystack,Ibadan,Oyo,Failed
ORD100117,2025-09-22 11:00:00,CUST1838,Aisha Williams,customer@gmail.com,080-1234-5678,Running Shoes,Fashion,1,59356.85410563633,0.0,Paystack,Port Harcourt,Rivers,Returned
ORD100118,2025-08-16 13:00:00,CUST1167,David Adeyemi,info@company.com,,Office Chair,Home,1,134239.59808987525,0.0,Cash,Ikeja,Lagos,Failed
ORD100119,2026-07-10 03:00:00,CUST1262,Mary Ibrahim,,080-1234-5678,Smart Watch,Electronics,2,99401.07183141372,0.1,Bank Transfer,Ibadan,Oyo,Pending
ORD100120,2025-05-12 01:00:00,CUST1464,David Smith,customer@gmail.com,080-1234-5678,Blender,Home,4,61995.36930875625,0.0,Paystack,Kano,Kano,Failed
ORD100121,2026-06-08 03:00:00,CUST2266,David Williams,bademail.com,+2348012345678,T-Shirt,Fashion,1,16784.08996351842,0.2,Bank Transfer,Ibadan,Oyo,Returned
ORD100122,2025-10-31 05:00:00,CUST2251,Emeka Ibrahim,user@yahoo.com,+2348012345678,Wireless Headphones,Electronics,1,81760.95424156742,0.15,Bank Transfer,Abuja,FCT,Cancelled
ORD100123,2026-06-10 06:00:00,CUST1578,Tunde Williams,,,External SSD,Electronics,-1,103859.094910913,0.05,Paystack,Kano,Kano,Pending
ORD100124,11/09/2025,CUST2136,Mary Williams,customer@gmail.com,080-1234-5678,Office Chair,Home,1,132932.3786357819,0.05,Cash,Kano,Kano,Returned
ORD100125,2025-03-04 14:00:00,CUST1455,Ngozi Adeyemi,customer@gmail.com,,T-Shirt,Fashion,1,16391.72479381587,0.2,Cash,Benin City,Edo,Pending
ORD100126,2025-06-03 06:00:00,CUST1058,Aisha Okafor,info@company.com,+2348012345678,Smart Watch,Electronics,0,102027.19092996918,0.1,POS,Ibadan,Oyo,Pending
ORD100127,2025-02-24 02:00:00,CUST1039,Emeka Smith,user@yahoo.com,,Coffee Maker,Home,1,66401.09078866904,0.1,Bank Transfer,Lagos,Lagos,Cancelled
ORD100128,2026-03-13 04:00:00,CUST2276,Ngozi Okafor,customer@gmail.com,,USB-C Charger,Electronics,1,18348.26055414821,0.0,Flutterwave,Benin City,Edo,Failed
ORD100129,2025-07-18 20:00:00,CUST1880,John Williams,info@company.com,+2348012345678,External SSD,Electronics,1,96342.61060442615,0.05,Flutterwave,Ikeja,Lagos,Completed
ORD100130,2025-12-26 02:00:00,CUST2115,John Ibrahim,bademail.com,08012345678,T-Shirt,Fashion,5,18488.41484928707,0.1,Cash,Lekki,Lagos,Completed
ORD100131,2025-06-14 14:00:00,CUST2502,Mary Williams,info@company.com,+2348012345678,Blender,Home,2,52714.293984224416,0.2,Cash,Ibadan,Oyo,Pending
ORD100132,2026-03-08 06:00:00,CUST1374,David Okafor,bademail.com,08012345678,Coffee Maker,Home,-1,69025.57302492045,0.0,Bank Transfer,Kano,Kano,Completed
ORD100133,2026-07-11 15:00:00,CUST2113,Ngozi Adeyemi,customer@gmail.com,+2348012345678,Blender,Home,4,55518.88638839797,0.0,Flutterwave,Benin City,Edo,Cancelled
ORD100134,2025-10-26 07:00:00,CUST1820,Ngozi Ibrahim,info@company.com,+2348012345678,Office Chair,Home,1,144889.89356957364,0.15,Cash,Ibadan,Oyo,Failed
ORD100135,2025-02-23 21:00:00,CUST1882,David Williams,info@company.com,080-1234-5678,Office Chair,Home,3,133475.33932568133,0.1,Flutterwave,ABUJA,Edo,Cancelled
ORD100136,2025-04-24 18:00:00,CUST2413,Ngozi Adeyemi,bademail.com,08012345678,Office Chair,Home,1,151577.617475622,0.1,Paystack,Benin City,Edo,Returned
ORD100137,2025-02-21 05:00:00,CUST2375,Tunde Adeyemi,,+2348012345678,Office Chair,Home,2,158130.89249210863,0.05,Paystack,Lagos,Lagos,Returned
ORD100138,2026-06-16 11:00:00,CUST2322,Aisha Adeyemi,bademail.com,08012345678,Wireless Headphones,Electronics,1,86786.61209053136,0.15,Cash,Abuja,FCT,Cancelled
ORD100139,2025-12-28 10:00:00,CUST1752,Tunde Adeyemi,info@company.com,+2348012345678,Coffee Maker,Home,2,78631.4887526159,0.0,Flutterwave,Ikeja,Lagos,Pending
ORD100140,2025-06-28 16:00:00,CUST2588,Emeka Ibrahim,user@yahoo.com,080-1234-5678,Coffee Maker,Home,1,74793.32123098744,0.15,Bank Transfer,Lekki,Lagos,Completed
ORD100141,2025-04-28 20:00:00,CUST2461,Ngozi Okafor,info@company.com,080-1234-5678,Running Shoes,Fashion,3,67724.02632865465,0.2,Paystack,Kano,Kano,Cancelled
ORD100142,2026-06-26 19:00:00,CUST1741,Chioma Okafor,user@yahoo.com,+2348012345678,Office Chair,Home,3,137365.34934431926,0.15,Card,Ikeja,Lagos,Cancelled
ORD100143,2026-07-03 15:00:00,CUST2130,David Williams,customer@gmail.com,08012345678,T-Shirt,Fashion,2,17313.446583102465,0.15,Paystack,Kano,Kano,Returned
ORD100144,2025-03-27 13:00:00,CUST1650,Mary Ibrahim,bademail.com,080-1234-5678,Smart Watch,Electronics,3,101823.3614363903,0.2,Flutterwave,Lekki,Lagos,Failed
ORD100145,2025-10-23 08:00:00,CUST2030,John Okafor,,+2348012345678,Running Shoes,Fashion,2,62453.61905649708,0.05,Cash,Ikeja,Lagos,Pending
ORD100146,2025-02-23 20:00:00,CUST1514,Chioma Williams,info@company.com,+2348012345678,Blender,Home,4,59450.25939280366,0.2,Paystack,Port Harcourt,Rivers,Completed
ORD100147,27/04/2025,CUST2350,Aisha Williams,customer@gmail.com,08012345678,T-Shirt,Fashion,2,16492.402277616133,0.2,Cash,Ikeja,Lagos,Pending
ORD100148,2025-12-06 23:00:00,CUST2285,Emeka Adeyemi,bademail.com,+2348012345678,External SSD,Electronics,1,100789.07493009893,0.15,Cash,Lagos,Lagos,Returned
ORD100149,2025-10-28 02:00:00,CUST1852,Ngozi Ibrahim,user@yahoo.com,080-1234-5678,USB-C Charger,Electronics,2,18383.976946154293,0.1,Flutterwave,lagos,Lagos,Cancelled
ORD100150,2026-06-04 06:00:00,CUST1759,Mary Adeyemi,user@yahoo.com,,Blender,Home,5,53621.25414537394,0.15,Bank Transfer,Ikeja,Lagos,Pending
ORD100151,2026-02-25 02:00:00,CUST1857,Chioma Smith,info@company.com,080-1234-5678,USB-C Charger,Electronics,1,16883.402764404098,0.05,POS,Benin City,Edo,Failed
ORD100152,2025-12-06 12:00:00,CUST1048,Mary Ibrahim,,,Coffee Maker,Home,1,78720.28747995564,0.05,Paystack,Port Harcourt,Rivers,Cancelled
ORD100153,2026-02-12 21:00:00,CUST2340,Ngozi Adeyemi,,08012345678,Wireless Headphones,Electronics,1,90901.93021168897,0.15,Bank Transfer,Kano,Kano,Cancelled
